compression_target,model,total_runs,scoreable_count,pass_count,pass_rate,generation_error_count,score_error_count,avg_realized_compression_ratio,rollup,model_count
0.75,deepseek/deepseek-v4-flash,187,187,156,0.8342245989304813,0,0,,model,
0.75,deepseek/deepseek-v4-pro,190,190,158,0.8315789473684211,0,0,,model,
0.75,mistralai/codestral-2508,201,201,153,0.7611940298507462,0,0,,model,
0.75,mistralai/mistral-large-2512,159,159,135,0.8490566037735849,0,0,,model,
0.75,moonshotai/kimi-k2,195,195,161,0.8256410256410256,0,0,,model,
0.75,moonshotai/kimi-k2-0905,192,192,145,0.7552083333333334,0,0,,model,
0.75,openai/gpt-5-nano,194,194,152,0.7835051546391752,0,0,,model,
0.75,openai/gpt-5.1-codex-mini,192,192,157,0.8177083333333334,0,0,,model,
0.75,openai/gpt-5.4-nano,190,190,161,0.8473684210526315,0,0,,model,
0.75,openai/gpt-oss-120b,185,185,145,0.7837837837837838,0,0,,model,
0.75,qwen/qwen3-coder-flash,178,178,133,0.7471910112359551,0,0,,model,
0.75,qwen/qwen3-coder-next,195,195,156,0.8,0,0,,model,
0.75,z-ai/glm-4.7,182,182,155,0.8516483516483516,0,0,,model,
0.75,z-ai/glm-5,186,186,159,0.8548387096774194,0,0,,model,
1.0,deepseek/deepseek-chat-v3.1,181,181,153,0.8453038674033149,0,0,,model,
1.0,deepseek/deepseek-v3.1-terminus,204,204,174,0.8529411764705882,0,0,,model,
1.0,deepseek/deepseek-v4-flash,182,182,139,0.7637362637362637,0,0,,model,
1.0,deepseek/deepseek-v4-pro,181,181,156,0.861878453038674,0,0,,model,
1.0,mistralai/codestral-2508,186,186,137,0.7365591397849462,0,0,,model,
1.0,mistralai/mistral-large-2512,171,171,148,0.8654970760233918,0,0,,model,
1.0,moonshotai/kimi-k2,173,173,147,0.8497109826589595,0,0,,model,
1.0,moonshotai/kimi-k2-0905,177,177,134,0.7570621468926554,0,0,,model,
1.0,openai/gpt-5-nano,189,189,157,0.8306878306878307,0,0,,model,
1.0,openai/gpt-5.1-codex-mini,206,206,166,0.8058252427184466,0,0,,model,
1.0,openai/gpt-5.4-nano,197,197,176,0.8934010152284264,0,0,,model,
1.0,openai/gpt-oss-120b,189,189,156,0.8253968253968254,0,0,,model,
1.0,qwen/qwen3-coder-flash,183,183,147,0.8032786885245902,0,0,,model,
1.0,qwen/qwen3-coder-next,192,192,165,0.859375,0,0,,model,
1.0,z-ai/glm-4.7,198,198,174,0.8787878787878788,0,0,,model,
1.0,z-ai/glm-5,176,176,156,0.8863636363636364,0,0,,model,
1.5,deepseek/deepseek-chat-v3.1,197,197,169,0.8578680203045685,0,0,,model,
1.5,deepseek/deepseek-v3.1-terminus,186,186,165,0.8870967741935484,0,0,,model,
1.5,deepseek/deepseek-v4-flash,180,180,155,0.8611111111111112,0,0,,model,
1.5,deepseek/deepseek-v4-pro,164,164,138,0.8414634146341463,0,0,,model,
1.5,mistralai/codestral-2508,183,183,141,0.7704918032786885,0,0,,model,
1.5,mistralai/mistral-large-2512,181,181,149,0.8232044198895028,0,0,,model,
1.5,moonshotai/kimi-k2,172,172,149,0.8662790697674418,0,0,,model,
1.5,moonshotai/kimi-k2-0905,186,186,148,0.7956989247311828,0,0,,model,
1.5,openai/gpt-5-nano,182,182,146,0.8021978021978022,0,0,,model,
1.5,openai/gpt-5.1-codex-mini,179,179,152,0.8491620111731844,0,0,,model,
1.5,openai/gpt-5.4-nano,180,180,146,0.8111111111111111,0,0,,model,
1.5,openai/gpt-oss-120b,195,195,164,0.841025641025641,0,0,,model,
1.5,qwen/qwen3-coder-flash,209,209,160,0.7655502392344498,0,0,,model,
1.5,qwen/qwen3-coder-next,183,183,148,0.8087431693989071,0,0,,model,
1.5,z-ai/glm-4.7,175,175,148,0.8457142857142858,0,0,,model,
1.5,z-ai/glm-5,169,169,155,0.9171597633136095,0,0,,model,
2.0,deepseek/deepseek-chat-v3.1,185,185,158,0.8540540540540541,0,0,,model,
2.0,deepseek/deepseek-v3.1-terminus,184,184,159,0.8641304347826086,0,0,,model,
2.0,deepseek/deepseek-v4-flash,179,179,149,0.8324022346368715,0,0,,model,
2.0,deepseek/deepseek-v4-pro,186,186,166,0.8924731182795699,0,0,,model,
2.0,mistralai/codestral-2508,190,190,155,0.8157894736842105,0,0,,model,
2.0,mistralai/mistral-large-2512,181,181,153,0.8453038674033149,0,0,,model,
2.0,moonshotai/kimi-k2,173,173,150,0.8670520231213873,0,0,,model,
2.0,moonshotai/kimi-k2-0905,190,190,151,0.7947368421052632,0,0,,model,
2.0,openai/gpt-5-nano,178,178,157,0.8820224719101124,0,0,,model,
2.0,openai/gpt-5.1-codex-mini,187,187,158,0.8449197860962567,0,0,,model,
2.0,openai/gpt-5.4-nano,195,195,157,0.8051282051282052,0,0,,model,
2.0,openai/gpt-oss-120b,199,199,169,0.8492462311557789,0,0,,model,
2.0,qwen/qwen3-coder-flash,168,168,129,0.7678571428571429,0,0,,model,
2.0,qwen/qwen3-coder-next,193,193,165,0.8549222797927462,0,0,,model,
2.0,z-ai/glm-4.7,195,195,171,0.8769230769230769,0,0,,model,
2.0,z-ai/glm-5,168,168,149,0.8869047619047619,0,0,,model,
,deepseek/deepseek-chat-v3.1,196,196,169,0.8622448979591837,0,0,,model,
,deepseek/deepseek-v3.1-terminus,207,207,185,0.893719806763285,0,0,,model,
,deepseek/deepseek-v4-flash,191,191,169,0.8848167539267016,0,0,,model,
,deepseek/deepseek-v4-pro,192,192,176,0.9166666666666666,0,0,,model,
,mistralai/codestral-2508,203,203,165,0.812807881773399,0,0,,model,
,mistralai/mistral-large-2512,170,170,154,0.9058823529411765,0,0,,model,
,moonshotai/kimi-k2,180,180,153,0.85,0,0,,model,
,moonshotai/kimi-k2-0905,195,195,171,0.8769230769230769,0,0,,model,
,openai/gpt-5-nano,183,183,155,0.8469945355191257,0,0,,model,
,openai/gpt-5.1-codex-mini,186,186,154,0.8279569892473119,0,0,,model,
,openai/gpt-5.4-nano,177,177,152,0.8587570621468926,0,0,,model,
,openai/gpt-oss-120b,188,188,163,0.8670212765957447,0,0,,model,
,qwen/qwen3-coder-flash,176,176,147,0.8352272727272727,0,0,,model,
,qwen/qwen3-coder-next,178,178,154,0.8651685393258427,0,0,,model,
,z-ai/glm-4.7,196,196,170,0.8673469387755102,0,0,,model,
,z-ai/glm-5,173,173,154,0.8901734104046243,0,0,,model,
0.25,,2961,2961,2075,0.7007767646065518,0,0,,overall,16.0
0.5,,2962,2962,2288,0.7724510465901417,0,0,,overall,16.0
0.75,,3012,3012,2439,0.8097609561752988,0,0,,overall,16.0
1.0,,2985,2985,2485,0.8324958123953099,0,0,,overall,16.0
1.5,,2921,2921,2433,0.8329339267374187,0,0,,overall,16.0
2.0,,2951,2951,2496,0.8458149779735683,0,0,,overall,16.0
,,2991,2991,2591,0.8662654630558342,0,0,,overall,16.0
